Brand Name,Outdoor Model Number,Indoor Model Number,"Capacity 17F (kBtuh)","Capacity 47F (kBtuh)",HSPF,"Cooling Capacity (kBtuh)",SEER,Motor HP,Ventilation Fan Watts
Airquest,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Airquest,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Amana Distinctions,GSZC180601C*,AVPTC61D14B*,37,59,9.5,56,17,-,-
American Standard,4A6C7048A3,TEM6A0D48H41+TDR,30.8,46,9,47,17.5,-,-
American Standard,4A6H4042G1,TEM6A0C48H41+TDR+UF/HRZ,24.8,36.4,8.5,42,14.5,3/4,81.65415
American Standard,4A6H5024H1,TEM6A0B24H21+TDR,13.8,22,9.5,24.2,15,1/3,36.3
American Standard,4A6H5030H1,TEM6A0B30H21+TDR,17.8,27.8,9.5,29,15.25,1/3,36.3
American Standard,4A6H5036H1,TEM6A0C36H31+TDR,21,33,9.5,34.8,15,1/2,54.4
American Standard,4A6H5042H1,TEM6A0C48H41+TDR+DF,24.8,37,9,40.5,15,-,-
American Standard,4A6H5042H1,TEM6A0C48H41+TDR+UF/HRZ,25.6,39,9.5,42,15,-,-
American Standard,4A6H5048H1,TEM6A0C48H41+TDR+DF,28.2,42.5,8.55,46.5,15,3/4,81.7
American Standard,4A6H5048H1,TEM6A0C48H41+TDR+UF/HRZ,28.6,43.5,9.5,48,15,3/4,81.7
American Standard,4A6H5048H1,TEM6A0D48H41+TDR,28.2,42.5,8.55,46.5,15,-,-
American Standard,4A6H5048H1,TEM6A0D48H41+TDR,28.4,44.5,9.5,47,15,-,-
American Standard,4A6H5048H1,TEM6A0D48H41+TDR,28.6,43.5,9.5,48,15,-,-
American Standard,4A6H6036H1,TAM9A0B30V31,22,33.8,9.6,35.2,16,-,-
American Standard,4A6H6048H1,TEM6A0C48H41+TDR+UF/HRZ,29,44.5,9.6,48,16.5,3/4,81.65415
American Standard,4A6V8036A1,4TXCB004CC3,25,30.4,9.5,33.4,18,-,-
American Standard,4A6V8036A1,4TXCB004CC3,25.4,31.2,9.6,33.8,18,-,-
American Standard,4A6V8036A1,4TXCB004CC3,25.6,31.2,9.6,34.4,18,-,-
American Standard,4A6V8036A1,4TXCB004CC3,25.6,31.4,9.6,34.2,18,-,-
American Standard,4A6V8036A1,4TXCB004CC3,25.8,31.6,10,34.4,18,-,-
American Standard,4A6V8060A1,TAM9A0C60V51,48,50.5,10,54,18,-,-
American Standard,MUZ-D30NA,MSZ-D30NA,20.8,32.6,8.2,30.6,14.5,-,-
American Standard,MUZ-FH06NAH,MSZ-FH06NA**,5.9,8.7,12.5,6,33.1,-,-
American Standard,MUZ-FH06NA,MSZ-FH06NA**,5.9,8.7,13.5,6,33.1,-,-
American Standard,MUZ-FH09NA,MSZ-FH09NA**,6.7,10.9,12.5,9,30.5,-,-
American Standard,MUZ-FH09NA,MSZ-FH09NA,6.7,10.9,13.5,9,30.5,-,-
American Standard,MUZ-FH12NAH,MSZ-FH12NA**,8.1,13.6,11.5,12,26.1,-,-
American Standard,MUZ-FH12NA,MSZ-FH12NA,8.1,13.6,12.5,12,26.1,-,-
American Standard,MUZ-FH15NA,MSZ-FH15NA**,11,18,11,15,22,-,-
American Standard,MUZ-FH15NA,MSZ-FH15NA,11,18,12,15,22,-,-
American Standard,MUZ-GL09NA-U1,MSZ-GL09NA-U1,6.7,10.9,12.8,9,24.6,-,-
American Standard,MUZ-GL12NA-U1,MSZ-GL12NA-U1,9.2,14.4,12.5,12,23.1,-,-
American Standard,MUZ-GL18NA,MSZ-GL18NA,13.8,21.6,11.2,18,20.5,-,-
American Standard,MUZ-HM12NA-U1,MSZ-HM12NA-U1,7.6,12.2,10,12,18,-,-
American Standard,MXZ-2C20NA2,-,12.5,22,9.3,20,16,-,-
American Standard,MXZ-2C20NA2,-,13.5,22,10,18,20,-,-
American Standard,MXZ-2C20NAH,-,13.7,22,9.5,20,15,-,-
American Standard,MXZ-2C20NAH,-,13.7,22,9.8,18,17,-,-
American Standard,MXZ-3C24NA2,-,14,24.6,9.2,23.6,16,-,-
American Standard,MXZ-3C24NA2,-,14,25,9.8,22,20,-,-
American Standard,MXZ-3C24NAHZ,Ducted,14,24.6,9,23.6,15.5,-,-
American Standard,MXZ-3C24NAHZ,Non-Ducted,14,25,10,22,19,-,-
American Standard,MXZ-3C30NA2,Ducted,15.1,27.6,9.6,27.4,16.2,-,-
American Standard,MXZ-3C30NA2,Non-Ducted,16,28.6,10.6,28.4,19,-,-
American Standard,MXZ-3C30NAHZ2,-,16.5,27.6,9.8,27.4,16,-,-
American Standard,MXZ-3C30NAHZ2,-,18,28.6,11,28.4,18,-,-
American Standard,MXZ-4C36NA2,Ducted,20.2,34.4,9.8,34.4,16,-,-
American Standard,MXZ-4C36NA2,Non-Ducted,22.2,36,11,35.4,19.2,-,-
American Standard,mxz-4c36NAHZ,-,34,45,11.3,36,19.1,-,-
American Standard,mxz-4c36NAHZ,-,36,45,10.1,36,15.8,-,-
American Standard,MXZ-5C42NA2,MSZ-GL09NA,24.4,45,10.3,40.5,19.7,-,-
American Standard,MXZ-5C42NAHZ,Ducted,36.6,48,10.1,42,15,-,-
American Standard,MXZ-5C42NAHZ,Non-Ducted,35.8,48,11,42,19,-,-
American Standard,PUZ-A12NKA7***,PKA-A12HA*,9.2,14,10.2,12,20.8,-,-
American Standard,PUZ-A18NKA7***,PEAD-A18AA*,11,19,10.2,18,19.9,-,-
American Standard,PUZ-HA36NHA5,PEAD-A36AA*,27,38,10.4,33,16.8,-,-
American Standard,SUZ-KA15NA,SEZ-KD15NA,11.9,18,10,14.1,15.5,-,-
Ameristar,M4HP6036A1,M4AH6A0C36H31,20.8,33,9.5,34.8,16,-,-
Arcoaire,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Arcoaire,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Bryant,214DNA042*0**A*,FX4DN(B,F)043L,25,41,8.2,40,14,-,-
Bryant,288BNV036,CAP**3617,24.8,35.8,9,32.4,15.5,-,-
Bryant,288BNV060*0**A*,CAP**6021AL*+UI,45,60,8.5,55.5,16,-,-
Bryant,38MAQB12R--3,619PEQ012BBMA,7.8,12,12,12,22.5,-,-
Bryant,38MAQB18R--3,40MBCQ18---3,12,18,10.5,16,20,-,-
Bryant,38MAQB18R--3,40MBFQ18---3,13.4,18,10.6,17,19.9,-,-
Bryant,38MAQB18R--3,619PEQ018BBMA,10.8,18,10.3,17,20,-,-
Bryant,38MAQB18R--3,619REQ018CBMA,12,18,10.5,16,20,-,-
Bryant,38MAQB18R,40MBDQ18,13.4,19,11,16.5,20,-,-
Bryant,38MAQB24R--3,619PEQ024BBMA,15.4,24,11.5,24,20.5,-,-
Bryant,38MBRBQ36AA3,40MBAAQ36XA3,25,39,10.4,36,16.5,-,-
Bryant,38MBRBQ48AA3,40MBAAQ48XA3,36,55,9.5,48,16,-,-
Bryant,38MGRQ24C,-,17.2,24,10.3,24,23,-,-
Bryant,38MGRQ24C,-,17.6,24,10,24,21,-,-
Bryant,38MGRQ30D--3,Ducted,23,30,10,30,21,-,-
Bryant,38MGRQ30D--3,Mixed Ducted & Non-Ducted,20.2,29,10,30,22.4,-,-
Bryant,38MGRQ30D--3,Non-Ducted,17.4,28,10,30,23.8,-,-
Bryant,38MGRQ36D--3,Ducted,24.6,37,11,36,19,-,-
Bryant,38MGRQ36D--3,Non-Ducted,23.2,36,10.5,36,21.5,-,-
Bryant,38MHRBQ12AA3,40MHHQ12---3,7.3,12,9.6,12,19.8,-,-
Carrier,25HBC536A**30,A(A,B)M364+TDR,22,35.6,8.5,34,14.5,-,-
Carrier,25HCC548A*030*,FB4CNP060L,28.2,46,8.2,47,14,-,-
Carrier,25HCE424A3**,FB4CNP024,13.1,22,8.2,22.2,14,1/3,36.3
Carrier,25VNA024A*030*,FE4AN(B,F)005L+UI,25,23.6,11.5,24.8,20,-,-
Carrier,25VNA060A*030*,FE4ANB006L+UI,52.5,55.5,12,56,18,-,-
Carrier,38MAQB09R--1,40MAQB09B--1,6.5,11,11.2,9.5,24.5,-,-
Carrier,38MAQB09R--3,40MAQB09B--3,6.9,10.9,11.2,9,25,-,-
Carrier,38MAQB12R--3,40MAQB12B--3,7.8,12,12,12,22.5,-,-
Carrier,38MAQB12R--3,40MBDQ12---3,8.5,12,11,12,20.5,-,-
Carrier,38MAQB18R--3,40MAQB18B--3,10.8,18,10.3,17,20,-,-
Carrier,38MAQB18R--3,40MBCQ18---3,12,18,10.5,16,20,-,-
Carrier,38MAQB18R--3,40MBFQ18---3,13.4,18,10.6,17,19.9,-,-
Carrier,38MAQB18R--3,40MBQB18C--3,12,18,10.5,16,20,-,-
Carrier,38MAQB18R,40MBDQ18,13.4,19,11,16.5,20,-,-
Carrier,38MAQB24R--3,FB4CNP024,16.6,24.6,10.5,24,14.5,1/3,36.3
Carrier,38MAQB24R--3,FV4CNF002,14,23.6,10.5,23,17,1/2,54.4361
Carrier,38MARBQ09AA3,40mahbq09xa3,7.5,11.8,13,9,28.1,-,-
Carrier,38MBRBQ48AA3,40MBAAQ48XA3,36,55,9.5,48,16,-,-
Carrier,38MGRQ18B--3,-,11.5,18.5,10,18,18.5,-,-
Carrier,38MGRQ18B--3,-,12,19,10.3,18,22.5,-,-
Carrier,38MGRQ24C,-,17.2,24,10.3,24,23,-,-
Carrier,38MGRQ24C,-,17.6,24,10,24,21,-,-
Carrier,38MGRQ30D--3,Ducted,23,30,10,30,21,-,-
Carrier,38MGRQ30D--3,Mixed Ducted & Non-Ducted,20.2,29,10,30,22.4,-,-
Carrier,38MGRQ30D--3,Non-Ducted,17.4,28,10,30,23.8,-,-
Carrier,38MGRQ36D--3,Ducted,24.6,37,11,36,19,-,-
Carrier,38MGRQ36D--3,Non-Ducted,23.2,36,10.5,36,21.5,-,-
Carrier,38MHRBQ12AA3,40MHHQ12---3,7.3,12,9.6,12,19.8,-,-
Carrier,38MHRBQ24AA3,40MHHQ24---3,15.3,24.8,9.6,24,17.3,-,-
Carrier,38MHRCQ12AA3,40MHHQ12,7,12,10,12,19.8,-,-
Carrier,38MPRAQ12AA3,40MPHAQ12XA3,6.8,12,14,12,32,-,-
Champion,TH16B3621,CF/CM36B+ME12BN21+TXV,22.2,35,9.5,34,16.25,-,-
Coleman,CH16B3621,AVC48CX21+TXV,22.4,34.8,9.75,35.2,17,-,-
Coleman,HC19B2421,AVC36BX21+TXV,14.3,22.8,9.5,23.8,18,-,-
Comfortmaker,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Comfortmaker,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Concord,4HP15L30P-50,BCE5E30M,16.8,26.2,8.5,30,15.5,1/2,54.4
Cooper Hunter,CH-36LCU/O,CH-36LCDTU/I,27.6,40,11.5,36,16.5,-,-
Daikin,2MXL18QMVJU*,Ducted Indoor Units,12,18.9,8.2,18,14,-,-
Daikin,2MXL18QMVJU*,Mixed Ducted and Non-Ducted Indoor Units,11.7,18.9,9.25,18,15.5,-,-
Daikin,2MXL18QMVJU*,Non-Ducted Indoor Units,11.4,18.9,10.3,18,17,-,-
Daikin,2MXS18NMVJU,-,12,18.9,10.7,18,18.9,-,-
Daikin,2MXS18NMVJU,-,12,18.9,8.2,18,14,-,-
Daikin,3MXL24RMVJU,Ducted,15,24,8.2,24,14,-,-
Daikin,3MXL24RMVJU,Mixed Ducted & Non-Ducted,15.25,24,10.35,24,16,-,-
Daikin,3MXL24RMVJU,Non-Ducted,15.5,24,12.5,24,18,-,-
Daikin,3MXS24NMVJU,-,15,24,8.2,24,14,-,-
Daikin,3MXS24NMVJU,-,15.5,24,12.5,24,17.9,-,-
Daikin,3MXS24RMVJU,-,15,24,8.2,24,14,-,-
Daikin,3MXS24RMVJU,-,15.5,24,12.5,24,18,-,-
Daikin,4MXL36TVJU,Ducted Indoor Units,22,34.6,9.1,34.4,16.9,-,-
Daikin,4MXL36TVJU,Mixed Ducted and Non-Ducted Indoor Units,22.2,35.6,10.15,34.4,19.3,-,-
Daikin,4MXL36TVJU,Non-Ducted Indoor Units,22.4,36.6,11.2,34.4,21.7,-,-
Daikin,4MXS36NMVJU,-,19.5,34.6,8.2,34.6,14,-,-
Daikin,4MXS36NMVJU,-,22,36,12.2,36,17.7,-,-
Daikin,4MXS36RMVJU,Ducted,19.5,34.6,8.2,34.6,14,-,-
Daikin,4MXS36RMVJU,Non-Ducted,22,36,12.2,36,17.7,-,-
Daikin,5MXS48TVJU,Ducted,30.2,46.5,8.6,46,15.3,-,-
Daikin,5MXS48TVJU,Mixed Ducted & Non-Ducted,30.6,47.5,9.85,46.5,17.75,-,-
Daikin,5MXS48TVJU,Non-Ducted,31,48.5,11.1,47,20.2,-,-
Daikin,DZ14SN0361A*,ASPT37C14A*,20,32.6,8.5,34.6,14.5,-,-
Daikin,DZ16SA0241B*,ASPT37C14A*,14.5,24,9.5,24,16,-,-
Daikin,DZ16SA0361B*,ASPT37C14A*,22,35,9.5,34.2,16,-,-
Daikin,DZ16TC0361C*,CA*F3636*6D*+MBVC1600**-1A*+TXV,21,33.8,8.5,33.4,15.5,-,-
Daikin,DZ16TC0361C*,CA*F3642*6D*+MBVC1600**-1A*+TXV,21,33.8,8.5,33.8,16,-,-
Daikin,DZ16TC0361C*,CA*F3743*6D*+MBVC1600**-1A*+TX,21.6,34,9,34.4,16,-,-
Daikin,DZ16TC0361C*,CA*F4860*6D*+MBVC1600**-1A*+TXV,21.6,33.8,9,34.4,16,-,-
Daikin,DZ16TC0361C*,CA*F4961*6D*+MBVC1600**-1A*+TXV,21.6,34,9,34.8,16,-,-
Daikin,DZ16TC0361C*,CHPF3642C6C*+MBVC1600**-1A*+TXV,21,33.8,9,33,15.5,-,-
Daikin,DZ16TC0361C*,CHPF3743C6B*+MBVC1600**-1A*+TXV,21.6,33,9,33.2,16,-,-
Daikin,RX09NMVJU,FTX09NMVJU,6,10,9,9,19,-,-
Daikin,RX12AXVJU,FTX12AXVJU,8.6,13.5,10,10.9,19,-,-
Daikin,RX12NMVJU,FTX12NMVJU,8.1,13.5,9,10.9,19,-,-
DAIKIN,RX12RMVJU9,FTXR12TVJUS,8.7,13.5,10,12,17,-,-
Daikin,RX15RMVJU,FDMQ15RVJU,11.5,18,10.3,14.4,20.2,-,-
Daikin,RX15RMVJU,FFQ15Q2VJU,10.6,16.2,11,14.4,20.7,-,-
Daikin,RX18NMVJU,FTX18NMVJU,13,21.6,9,18,18,-,-
Daikin,RX18RMVJU9,FDMQ18RVJU,13.6,21.6,10.3,17.6,18.5,-,-
Daikin,RX18RMVJU9,FFQ18Q2VJU,14.2,21.6,10.1,17.4,19.3,-,-
Daikin,RX18RMVJU9,FTXR18TVJUS,13.3,20,9.8,18,14.5,-,-
Daikin,RX18RMVJU9,FTXR18TVJUW,13.3,20,9.8,18,14.5,-,-
Daikin,RX18RMVJU,FDMQ18RVJU,13.6,21.6,10.3,17.6,18.5,-,-
Daikin,RX18RMVJU,FFQ18Q2VJU,14.2,21.6,10.1,17.4,19.3,-,-
Daikin,RX24NMVJU,FTX24NMVJU,14.4,24,9,21.2,18,-,-
Daikin,RX24RMVJU,FDMQ24RVJU,15,24,10,21.8,18.6,-,-
Daikin,RXL09QMVJU,FTX09NMVJU,6.7,10.9,12.5,9,20,-,-
Daikin,RXL12QMVJU9,FDMQ12RVJU,8.6,13.6,10.8,10.8,18,-,-
Daikin,RXL12QMVJU9,FTX12NMVJU,8.8,13.6,12,10.9,20,-,-
Daikin,RXL12QMVJU9,FVXS12NVJU,8.3,13,11.4,10.2,20,-,-
Daikin,RXL12QMVJU,FTX12NMVJU,8.8,13.6,12,10.9,20,-,-
Daikin,RXL12QMVJU,FVXS12NVJU,8.3,13,11.4,10.2,20,-,-
Daikin,RXL15QMVJU*,FTX15NMVJU,11.5,18.3,12.5,15,20,-,-
Daikin,RXL15QMVJU,FTX15NMVJU,11.5,18.3,12.5,15,20,-,-
Daikin,RXS12LVJU,FDXS12LVJU,7.5,11.5,10.4,11.5,15.5,-,-
Daikin,RXS12LVJU,FTXS12LVJU,9.2,14.4,12.5,12,23,-,-
Daikin,RXS15LVJU,FTXS15LVJU,11.9,18,11.6,15,20.6,-,-
Daikin,RXS18LVJU,FTXS18LVJU,13.9,21.6,11,18,20.3,-,-
Daikin,RXS24LVJU,FTXS24LVJU,16.4,25.4,10.6,21.4,20,-,-
Day & Night,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Day & Night,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Energi Air,GSZC180601C*,AVPTC61D14B*,37,59,9.5,56,17,-,-
Franklin,GSZC180601C*,AVPTC61D14B*,37,59,9.5,56,17,-,-
Fraser-Johnston,TH16B3621,CF/CM36B+ME12BN21+TXV,22.2,35,9.5,34,16.25,-,-
Fujitsu,AOU12RLS3,ASU12RLS3Y,9.6,16,14,12,29.3,-,-
Fujitsu,AOU12RLS3H,ASU12RLS3Y,9.6,16,13.8,12,29.3,-,-
Fujitsu,AOU15RLS3,ASU15RLS3,11.2,18,13.4,14.5,25.3,-,-
Fujitsu,AOU15RLS3,ASU15RLS3Y,11.2,18,13.4,14.5,25.3,-,-
Fujitsu,AOU15RLS3H,ASU15RLS3,11.2,18,13.3,14.5,25.3,-,-
Fujitsu,AOU15RLS3H,ASU15RLS3Y,11.2,18,13.3,14.5,25.3,-,-
Fujitsu,AOU18RLFC,ARU18RLF,13.6,21.6,11.3,18,19.7,-,-
Fujitsu,AOU18RLFC,AUU18RLF,13.6,21.6,11.5,18,20.1,-,-
Fujitsu,AOU18RLXFZH,Ducted Indoor Units,14.2,22,9,18,19,-,-
Fujitsu,AOU18RLXFZH,Mixed Ducted and Non-Ducted Indoor Units,14.2,22,9.65,18,20.25,-,-
Fujitsu,AOU18RLXFZH,Non-Ducted Indoor Units,14.2,22,10.3,18,21.5,-,-
Fujitsu,AOU36RLXFZH,Ducted,21.4,36.4,9.3,35.2,18,-,-
Fujitsu,AOU36RLXFZH,Mixed Ducted & Non-Ducted,21.4,36.4,9.8,35.2,19,-,-
Fujitsu,AOU36RLXFZH,Non-Ducted,21.4,36.4,10.3,35.2,20,-,-
Fujitsu,AOU9RLFC,AUU9RLF,7.1,12,13,9,24,-,-
Fujitsu,AOU9RLS3,ASU9RLS3,7,12,14.2,9,33,-,-
Fujitsu,AOU9RLS3,ASU9RLS3Y,7,12,14.2,9,33,-,-
Fujitsu,AOU9RLS3H,ASU9RLS3,7,12,14,9,33,-,-
Fujitsu,AOU9RLS3H,ASU9RLS3Y,7,12,14,9,33,-,-
Fujitsu,AOUG09LMAS1,ASUG09LMAS,7.4,12,13,9,26.5,-,-
Goodman,GSZC180601C*,AVPTC61D14B*,37,59,9.5,56,17,-,-
Heil,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Heil,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Janitrol,GSZC180601C*,AVPTC61D14B*,37,59,9.5,56,17,-,-
Keeprite,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Keeprite,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Kenmore,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Kenmore,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Lennox,16HPX-048-230A**,CR33-50/60+TDR+TXV,30.4,44.5,9,47,16,-,-
Lennox,16HPX-048-230A**,CR33-60+TDR+TXV,30.4,44.5,9,47,16,-,-
Lennox,16HPX-048-230A**,L*42/60Y9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*42/60Z9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*43/61Y9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*43/61Z9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*48/60Y9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*48/60Z9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*49/62Y9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*49/62Z9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*49/63Z9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,LD42/61Z9,28.8,42.5,9,47,16,-,-
